Situ,Group,HoSexp,HeSexp,HDexp,DLexp,DRexp,Selexp,STexp
S1,LALA,1,0,0,0,0,1,0
S1,LBLB,1,0,0,0,0,1,0
S1,HAHA,1,0,0,0,0,1,0
S1,HBHB,1,0,0,0,0,1,0
S1,LALB,1,0,0,0,0,1,0
S1,LAHA,0,1,0,0,0,1,0
S1,LAHB,0,1,0,0,0,1,0
S1,LBHA,0,1,0,0,0,1,0
S1,LBHB,0,1,0,0,0,1,0
S1,HAHB,1,0,0,0,0,1,0
S2,LALA,0,0,1,0,0,0,1
S2,LBLB,0,0,1,0,0,0,1
S2,HAHA,0,0,1,0,0,0,1
S2,HBHB,0,0,1,0,0,0,1
S2,LALB,0,0,0,1,0,0,1
S2,LAHA,0,0,1,0,0,0,1
S2,LAHB,0,0,0,1,0,0,1
S2,LBHA,0,0,0,1,0,0,1
S2,LBHB,0,0,1,0,0,0,1
S2,HAHB,0,0,0,1,0,0,1
S3,LALA,0,0,0,0,1,0,1
S3,LBLB,0,0,0,0,1,0,1
S3,HAHA,0,0,0,0,1,0,1
S3,HBHB,0,0,0,0,1,0,1
S3,LALB,0,0,0,0,1,0,1
S3,LAHA,0,0,0,0,1,0,1
S3,LAHB,0,0,0,0,1,0,1
S3,LBHA,0,0,0,0,1,0,1
S3,LBHB,0,0,0,0,1,0,1
S3,HAHB,0,0,0,0,1,0,1
S4,LALA,0,0,0.25,0,0.75,0,1
S4,LBLB,0,0,0.25,0,0.75,0,1
S4,HAHA,0,0,0.25,0,0.75,0,1
S4,HBHB,0,0,0.25,0,0.75,0,1
S4,LALB,0,0,0,0.25,0.75,0,1
S4,LAHA,0,0,0.25,0,0.75,0,1
S4,LAHB,0,0,0,0.25,0.75,0,1
S4,LBHA,0,0,0,0.25,0.75,0,1
S4,LBHB,0,0,0.25,0,0.75,0,1
S4,HAHB,0,0,0,0.25,0.75,0,1
S5,LALA,0,0,0.5,0,0.5,0,1
S5,LBLB,0,0,0.5,0,0.5,0,1
S5,HAHA,0,0,0.5,0,0.5,0,1
S5,HBHB,0,0,0.5,0,0.5,0,1
S5,LALB,0,0,0,0.5,0.5,0,1
S5,LAHA,0,0,0.5,0,0.5,0,1
S5,LAHB,0,0,0,0.5,0.5,0,1
S5,LBHA,0,0,0,0.5,0.5,0,1
S5,LBHB,0,0,0.5,0,0.5,0,1
S5,HAHB,0,0,0,0.5,0.5,0,1
S6,LALA,0,0,0.75,0,0.25,0,1
S6,LBLB,0,0,0.75,0,0.25,0,1
S6,HAHA,0,0,0.75,0,0.25,0,1
S6,HBHB,0,0,0.75,0,0.25,0,1
S6,LALB,0,0,0,0.75,0.25,0,1
S6,LAHA,0,0,0.75,0,0.25,0,1
S6,LAHB,0,0,0,0.75,0.25,0,1
S6,LBHA,0,0,0,0.75,0.25,0,1
S6,LBHB,0,0,0.75,0,0.25,0,1
S6,HAHB,0,0,0,0.75,0.25,0,1
S7,LALA,0.25,0,0,0,0.75,0.25,0.75
S7,LBLB,0.25,0,0,0,0.75,0.25,0.75
S7,HAHA,0.25,0,0,0,0.75,0.25,0.75
S7,HBHB,0.25,0,0,0,0.75,0.25,0.75
S7,LALB,0.25,0,0,0,0.75,0.25,0.75
S7,LAHA,0,0.25,0,0,0.75,0.25,0.75
S7,LAHB,0,0.25,0,0,0.75,0.25,0.75
S7,LBHA,0,0.25,0,0,0.75,0.25,0.75
S7,LBHB,0,0.25,0,0,0.75,0.25,0.75
S7,HAHB,0.25,0,0,0,0.75,0.25,0.75
S8,LALA,0.5,0,0,0,0.5,0.5,0.5
S8,LBLB,0.5,0,0,0,0.5,0.5,0.5
S8,HAHA,0.5,0,0,0,0.5,0.5,0.5
S8,HBHB,0.5,0,0,0,0.5,0.5,0.5
S8,LALB,0.5,0,0,0,0.5,0.5,0.5
S8,LAHA,0,0.5,0,0,0.5,0.5,0.5
S8,LAHB,0,0.5,0,0,0.5,0.5,0.5
S8,LBHA,0,0.5,0,0,0.5,0.5,0.5
S8,LBHB,0,0.5,0,0,0.5,0.5,0.5
S8,HAHB,0.5,0,0,0,0.5,0.5,0.5
S9,LALA,0.75,0,0,0,0.25,0.75,0.25
S9,LBLB,0.75,0,0,0,0.25,0.75,0.25
S9,HAHA,0.75,0,0,0,0.25,0.75,0.25
S9,HBHB,0.75,0,0,0,0.25,0.75,0.25
S9,LALB,0.75,0,0,0,0.25,0.75,0.25
S9,LAHA,0,0.75,0,0,0.25,0.75,0.25
S9,LAHB,0,0.75,0,0,0.25,0.75,0.25
S9,LBHA,0,0.75,0,0,0.25,0.75,0.25
S9,LBHB,0,0.75,0,0,0.25,0.75,0.25
S9,HAHB,0.75,0,0,0,0.25,0.75,0.25
S10,LALA,0.25,0,0.75,0,0,0.25,0.75
S10,LBLB,0.25,0,0.75,0,0,0.25,0.75
S10,HAHA,0.25,0,0.75,0,0,0.25,0.75
S10,HBHB,0.25,0,0.75,0,0,0.25,0.75
S10,LALB,0.25,0,0,0.75,0,0.25,0.75
S10,LAHA,0,0.25,0.75,0,0,0.25,0.75
S10,LAHB,0,0.25,0,0.75,0,0.25,0.75
S10,LBHA,0,0.25,0,0.75,0,0.25,0.75
S10,LBHB,0,0.25,0.75,0,0,0.25,0.75
S10,HAHB,0.25,0,0,0.75,0,0.25,0.75
S11,LALA,0.5,0,0.5,0,0,0.5,0.5
S11,LBLB,0.5,0,0.5,0,0,0.5,0.5
S11,HAHA,0.5,0,0.5,0,0,0.5,0.5
S11,HBHB,0.5,0,0.5,0,0,0.5,0.5
S11,LALB,0.5,0,0,0.5,0,0.5,0.5
S11,LAHA,0,0.5,0.5,0,0,0.5,0.5
S11,LAHB,0,0.5,0,0.5,0,0.5,0.5
S11,LBHA,0,0.5,0,0.5,0,0.5,0.5
S11,LBHB,0,0.5,0.5,0,0,0.5,0.5
S11,HAHB,0.5,0,0,0.5,0,0.5,0.5
S12,LALA,0.75,0,0.25,0,0,0.75,0.25
S12,LBLB,0.75,0,0.25,0,0,0.75,0.25
S12,HAHA,0.75,0,0.25,0,0,0.75,0.25
S12,HBHB,0.75,0,0.25,0,0,0.75,0.25
S12,LALB,0.75,0,0,0.25,0,0.75,0.25
S12,LAHA,0,0.75,0.25,0,0,0.75,0.25
S12,LAHB,0,0.75,0,0.25,0,0.75,0.25
S12,LBHA,0,0.75,0,0.25,0,0.75,0.25
S12,LBHB,0,0.75,0.25,0,0,0.75,0.25
S12,HAHB,0.75,0,0,0.25,0,0.75,0.25
S13,LALA,0.25,0,0.25,0,0.5,0.25,0.75
S13,LBLB,0.25,0,0.25,0,0.5,0.25,0.75
S13,HAHA,0.25,0,0.25,0,0.5,0.25,0.75
S13,HBHB,0.25,0,0.25,0,0.5,0.25,0.75
S13,LALB,0.25,0,0,0.25,0.5,0.25,0.75
S13,LAHA,0,0.25,0.25,0,0.5,0.25,0.75
S13,LAHB,0,0.25,0,0.25,0.5,0.25,0.75
S13,LBHA,0,0.25,0,0.25,0.5,0.25,0.75
S13,LBHB,0,0.25,0.25,0,0.5,0.25,0.75
S13,HAHB,0.25,0,0,0.25,0.5,0.25,0.75
S14,LALA,0.25,0,0.5,0,0.25,0.25,0.75
S14,LBLB,0.25,0,0.5,0,0.25,0.25,0.75
S14,HAHA,0.25,0,0.5,0,0.25,0.25,0.75
S14,HBHB,0.25,0,0.5,0,0.25,0.25,0.75
S14,LALB,0.25,0,0,0.5,0.25,0.25,0.75
S14,LAHA,0,0.25,0.5,0,0.25,0.25,0.75
S14,LAHB,0,0.25,0,0.5,0.25,0.25,0.75
S14,LBHA,0,0.25,0,0.5,0.25,0.25,0.75
S14,LBHB,0,0.25,0.5,0,0.25,0.25,0.75
S14,HAHB,0.25,0,0,0.5,0.25,0.25,0.75
S15,LALA,0.5,0,0.25,0,0.25,0.5,0.5
S15,LBLB,0.5,0,0.25,0,0.25,0.5,0.5
S15,HAHA,0.5,0,0.25,0,0.25,0.5,0.5
S15,HBHB,0.5,0,0.25,0,0.25,0.5,0.5
S15,LALB,0.5,0,0,0.25,0.25,0.5,0.5
S15,LAHA,0,0.5,0.25,0,0.25,0.5,0.5
S15,LAHB,0,0.5,0,0.25,0.25,0.5,0.5
S15,LBHA,0,0.5,0,0.25,0.25,0.5,0.5
S15,LBHB,0,0.5,0.25,0,0.25,0.5,0.5
S15,HAHB,0.5,0,0,0.25,0.25,0.5,0.5
